,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,salary_categorized
9838,0.894043705755,0.70412069951,0.0547664244084,0.767949085857,-0.0109145911008,0,0,0,0
7689,-0.599487209808,0.562190839121,0.508281245402,0.458140202205,0.288124295942,0,0,0,0
6557,0.665503846624,0.858539017198,-0.373103334818,0.382982069415,-0.0216888423883,0,0,0,0
6872,0.529620902708,0.70915827716,0.196725355053,0.0503061013208,0.69571398171,0,0,0,0
820,0.74436632382,1.08284263272,0.666280491267,0.966749666234,0.32462542458,0,1,0,0
1643,0.0297239125131,0.721139727248,0.780477560989,0.936461109207,0.238352859401,0,1,0,0
7217,0.416220863622,0.389985649488,-0.0981744505644,0.170109990733,-0.376488944639,1,0,0,0
8351,0.546818123973,0.979847584166,0.615320435646,0.309443636748,0.00650954300802,1,0,0,0
2631,0.270502209786,0.204558452002,0.238562732721,0.310268117695,-0.0493399898564,1,0,0,0
107,0.290538985629,0.329009084388,0.230854535939,0.275666716008,-0.00188352607214,0,1,0,0
10329,0.455763372142,0.291289520286,0.803545160111,-0.827781703879,0.0819835833318,0,0,0,0
367,-0.4878901512,0.249247308165,0.00521291812265,0.0472441411563,0.124785790012,0,1,0,0
8216,0.125119243725,0.551950056874,0.499259485726,-0.0281992733112,0.175538248096,0,0,0,0
416,0.655606807153,0.960823854306,0.757368788993,0.89647055801,0.581164564498,0,1,0,0
2420,0.00673892914286,0.37687484193,0.643895005586,0.948275524259,0.348999320534,0,0,0,0
729,0.11668012487,0.826468907304,0.649007790245,0.674097595474,0.180602050555,0,1,0,0
13626,0.657926883011,0.258312504676,0.197100418805,0.368370932481,0.117206964581,1,0,0,0
4170,0.960363677874,0.122812467311,0.547064879688,0.317798116706,0.0941810034136,0,0,0,0
6189,0.116824892706,0.448846583275,0.781453316633,0.897304454565,0.261646833116,0,0,0,0
12752,0.46198871758,0.536349037267,0.086399296087,0.207193238327,0.138977549148,0,1,0,0
10385,0.9700597667,-0.26042624925,0.340052671153,0.663137788802,0.165114506733,0,0,0,0
5778,0.530272687179,0.709116456991,0.23130856121,0.294174099059,0.0135204193546,1,0,0,0
6206,0.696595335685,0.76398165274,0.185087971979,0.157144303653,-0.0600145236176,1,0,0,0
2388,0.840792078495,0.261233963697,-0.136834122392,0.695744307213,-0.119635309831,0,0,0,0
12619,0.11172907331,0.114532299722,0.157646895218,0.562306363121,-0.424237431128,0,1,0,0
4894,0.414102536805,-0.113627260737,0.181864938387,0.0644790366275,0.290960151031,0,0,0,0
6586,0.192387639352,0.594175992348,0.875475487517,0.355709097739,0.165760526058,0,0,0,0
8439,1.16022669082,0.247314487495,0.466486025618,0.193367771296,-0.229870043063,1,0,0,0
5094,0.404468887062,0.0291491335995,0.100658458655,0.567303960256,0.167918328485,0,0,0,0
4747,0.983263518702,0.16570123552,0.337585939787,0.701107153039,0.084304506115,0,0,0,0
510,0.571219429624,0.0324314923132,0.0562788990832,0.616765400372,0.200010759122,0,1,0,0
700,0.427841235346,0.230524361331,0.0869440058726,0.179896908665,0.0744494040102,0,1,0,0
6679,0.467918314832,0.85819914711,0.427851364228,0.118986242743,0.130829943051,0,0,0,0
11135,0.628730052906,0.138001730096,1.12773017479,0.17020482214,0.0366633738982,1,0,0,0
2628,0.505172653665,-0.293197193426,0.63170388369,0.363673141251,-0.0584413215957,0,0,0,0
3679,0.302775499418,0.336617293431,0.415186920009,0.610554492283,0.100518203581,1,0,0,0
1277,0.3991688093,1.27318851303,0.193268986668,0.756056372593,0.294917948527,0,1,0,0
5226,2.27438288985,1.01441669615,0.324296600755,-0.207984926103,0.0250935255692,0,0,0,0
2030,0.774882870327,0.259623276781,-0.0251055532558,0.59113640483,0.152413974612,0,0,0,0
5071,0.667115099557,0.581525138944,0.365264435489,1.00756860885,0.0622918413044,0,0,0,0
39,0.253763346819,0.364349836502,0.0173570100713,0.249467661709,0.181603426882,0,1,0,0
1891,0.411015444398,0.404259154796,0.251163360769,-0.0093613152594,0.11697366667,0,1,0,0
7874,0.659023147778,0.430491759181,0.435412613082,0.782148207932,0.114891748525,0,0,0,0
4785,0.860177854196,0.711973866783,0.135311553603,0.616808117905,-0.0479961941435,0,0,0,0
3421,-0.0812787356403,0.34829929082,0.59987025026,0.638218561442,0.16176880757,0,0,0,0
4111,0.580035281553,0.588038153887,0.820942492325,0.624841722124,0.361302931302,0,0,0,0
7621,1.32023600082,0.481773347744,0.251311847267,0.823540605057,-0.0296702776982,0,0,0,0
10514,-0.0530630965713,0.176863211124,0.0605457243174,0.335768366187,0.213258223396,0,0,0,0
2980,0.466931792138,0.0106144173311,0.437030057976,0.709131620984,-0.0301571748746,0,0,0,0
5001,0.544522974439,0.580278017736,0.375463293514,-0.0394364797851,0.0169833973761,1,0,0,0
12678,0.513077701301,0.435930212724,-0.0707432621949,0.455974513162,0.126581421625,0,1,0,0
1303,0.419441981676,0.299321967293,0.0985912909927,0.136548309596,0.427691521115,0,1,0,0
4618,0.743332604417,0.660435856976,0.119944494568,0.251040842238,0.0294349804022,0,0,0,0
7708,0.950996912222,0.330550715847,0.379264995467,0.264499990218,0.142159713261,0,0,0,0
10986,0.764367377749,0.655997378038,0.46439531684,0.641620329902,0.0569950752832,0,0,0,0
346,1.57671232287,1.21671728073,0.328525069074,0.668232588281,0.393443633516,0,1,0,0
7375,0.536984757028,0.933445696923,0.3248944076,0.435365388577,-0.0260665218805,0,0,0,0
8530,0.633104537863,0.486648403644,0.231881115875,0.753512105029,0.588583758431,0,0,0,0
9743,0.620151533724,-0.633301566135,0.0842590635789,0.117585914174,0.0802750972329,0,0,0,0
474,0.787781793995,0.824479427594,0.318993325706,0.630422958913,0.429558659222,0,1,0,0
8860,0.691461428212,0.18996845393,0.618930058625,1.08196581442,-0.197278021008,0,0,0,0
6576,1.31792300171,0.583535342994,0.411424871309,0.465095568927,0.129929522305,0,0,0,0
9937,0.894801320581,0.918394215199,0.588211262764,-0.190169454578,-0.48071861164,0,0,0,0
12770,-0.09353024453,0.831278173655,0.832796485686,0.998310245223,-0.0941299610469,0,1,0,0
13316,0.223513592278,0.0554555019275,0.232876799138,0.206699492158,0.2862224993,0,0,0,0
322,0.765116425571,0.245179670022,0.128932501124,0.77416678826,0.13924887768,0,1,0,0
5245,0.491693471697,1.61876913587,0.0168901428537,0.178011922745,0.520653713844,0,0,0,0
4953,1.18925330973,0.0568782073381,0.0767524298103,0.708986195705,-0.0542972077683,0,0,0,0
11247,0.417335158979,0.82573119276,0.0320564538067,0.148548871969,0.426865052,0,0,0,0
7820,0.226614929495,0.657284032221,0.298127451812,0.248813021546,0.340106832864,0,0,0,0
2754,0.723403642651,0.732588346144,-0.239969603935,0.684481855499,-0.0101072100751,0,0,0,0
9512,0.664611855805,0.302905222945,0.247550805955,-0.149704277271,0.0777304545298,0,0,0,0
13631,0.692413523773,-0.450690527903,0.567661948187,0.667464504805,0.10502670569,0,0,0,0
3514,0.209511065947,0.768285306616,0.214437118844,-0.118931946639,0.156493736916,0,0,0,0
5905,0.816036135344,0.456613536801,0.630878786017,0.0835666504518,0.0591578584314,0,0,0,0
971,0.77081394958,0.861750293333,0.450953083429,0.752620207161,0.446832001168,0,1,0,0
6698,0.601043731079,1.38960892816,0.107664966755,0.177313336356,-0.0798502506346,0,0,0,0
10194,0.465013305029,0.537034634377,0.203832192518,0.275617209794,0.10056796843,0,0,0,0
8661,0.325625995154,0.611247509731,0.440581565026,0.679504305921,0.4436037168,1,0,0,0
12095,-0.0248464731316,0.209874081597,0.308523787198,0.601507424723,0.135371525674,0,1,0,0
6113,0.33778672737,1.08775422051,0.33983007665,0.203411708698,0.0874751428877,0,0,0,0
10862,0.0663382637633,1.16937448184,0.303676788011,0.172482549999,0.372790189019,0,0,0,0
14569,0.171972551928,0.505482647019,0.725234047767,0.0958883822904,0.353041110325,0,1,0,0
1201,0.147125601923,0.770702656378,0.539073746313,0.738509981573,0.266349760527,0,1,0,0
2727,-0.00725404705585,0.390037210058,0.401775813358,0.197506620879,0.465396247419,0,0,0,0
7399,0.656209591447,0.521682248461,0.167829735582,0.36186599495,-0.0226566093898,0,0,0,0
7795,1.62580567518,0.204176627549,0.302692941921,0.90972783895,0.115794210834,0,0,0,0
14739,-0.171419365652,0.734380022706,0.745739427653,1.00709013166,0.0547510949036,0,1,0,0
36,0.381273446904,0.15937447969,-0.0573224892493,0.193455177192,0.120327741603,0,1,0,0
12943,0.0983618882796,0.702536473312,0.665597728222,0.416175174365,0.361286841302,0,0,0,0
4750,0.119986836562,0.0616033030719,0.529417231042,0.501787537734,-0.370842172574,0,0,0,0
6740,0.315069573362,0.576444910633,0.390809866049,0.137438705723,-0.321401773998,0,0,0,0
14664,0.336788622809,0.167310238733,0.102255137346,0.308174432673,0.271004650375,0,1,0,0
6933,0.878050325959,0.788524139718,0.614056971091,0.292118301428,0.127347910309,0,0,0,0
5183,0.474365237475,1.07899491433,-0.0853820811345,0.141760431706,-0.445608965981,1,0,0,0
10465,0.878494397657,0.546636470095,0.100985187635,0.100458097922,0.105010408324,0,0,0,0
8969,1.28828960944,0.363377453092,0.666281316676,0.644307890535,0.0581358513811,0,0,0,0
12631,0.0314494855817,0.217829018763,0.325085913178,0.393404248881,-0.00201966408766,0,1,0,0
11661,0.613260197722,0.482953440905,0.510794235395,0.126711199489,1.05314868604,0,0,0,0
8459,0.81626390041,0.527483727865,0.0964332646396,0.734729051939,0.0176692349205,0,0,0,0
3090,0.67299410873,0.271969878564,0.274680748314,0.846448038774,0.099997565096,0,0,0,0
12232,0.0764528117634,1.33147934335,0.892380456036,0.481802295928,0.247815406662,0,1,0,0
1288,0.785108864723,0.896430850829,1.05993612205,1.02042750265,0.390966106177,0,1,0,0
3031,0.843894750573,0.706860502086,0.597599143767,0.841952511956,0.195902385239,1,0,0,0
14655,1.26658470136,0.715059280184,-0.489195099535,0.147085216955,0.0375208939944,0,1,0,0
2977,0.220000298941,1.40955738423,0.195456860445,0.317845019512,0.345184552955,0,0,0,0
2400,1.00893952117,0.464811939088,0.429637595796,0.71827947388,0.236198047384,1,0,0,0
14010,0.801405300184,0.107036947343,0.50922843433,1.00623379413,0.0434624634685,0,0,1,0
14508,0.224355622124,0.467146159539,0.120054719894,0.608101113257,-0.023062303192,0,1,0,0
13925,0.906822172986,1.28699091359,0.385994913461,0.264228367019,0.00866697776037,0,0,0,0
9924,0.575895109886,1.01734090144,0.383498924392,0.456742522919,0.288579089653,0,0,0,0
1746,0.0465895917144,0.861432357638,0.725961313698,0.917537814472,0.309124835119,0,1,0,0
4125,0.456145907158,1.22168263429,0.0347384414048,0.346344094526,0.257357873867,1,0,0,0
7172,0.739965515339,0.501186311169,0.0282300114753,0.748627063389,0.311763343324,0,0,0,0
9922,0.809715218437,0.67092292265,0.0957762896896,0.511187630681,0.166631926955,0,0,0,0
4315,0.477121741416,0.873027050346,0.736646976865,0.272792246654,-0.0223414780387,0,0,0,0
8118,0.693749369033,0.144933341663,0.358460950555,0.841789550105,0.0947316767495,0,0,0,0
11571,1.040639022,0.246467489594,0.0767471088598,0.0940853606448,0.98341612438,0,0,0,0
5981,0.790742310227,0.259900146042,0.360382839596,0.476296913135,0.162448227081,1,0,0,0
11487,0.73606174078,0.410181081043,0.402240962031,0.413135271319,0.313775525877,1,0,0,0
11908,0.883533617469,0.142459398348,0.02494109404,0.484328674012,0.907312942569,0,0,0,0
4549,0.863588104476,0.551849179249,0.519116143113,0.744179968509,0.242222050021,0,0,1,0
2507,1.10770483156,0.961392208309,0.122068557024,0.875454149149,0.11777333986,1,0,0,0
3375,0.515126143559,0.962738717124,0.468018393876,0.6474288377,0.061416632653,1,0,0,0
8310,-0.000246365469369,0.658284707846,0.148754866037,-0.060250947732,0.236450656715,0,0,0,0
7092,0.14417053705,0.875506274476,0.602902556196,-0.152197516736,0.190395106419,0,0,0,0
