,salary_categorized
9838,1.0
7689,0.0
6557,2.0
6872,2.0
820,1.0
1643,1.0
7217,2.0
8351,0.0
2631,1.0
107,2.0
10329,2.0
367,1.0
8216,1.0
416,2.0
2420,1.0
729,2.0
13626,1.0
4170,1.0
6189,1.0
12752,1.0
10385,1.0
5778,2.0
6206,2.0
2388,1.0
12619,1.0
4894,2.0
6586,1.0
8439,1.0
5094,0.0
4747,2.0
510,1.0
700,2.0
6679,2.0
11135,2.0
2628,1.0
3679,1.0
1277,2.0
5226,1.0
2030,1.0
5071,1.0
39,1.0
1891,1.0
7874,2.0
4785,2.0
3421,2.0
4111,2.0
7621,1.0
10514,2.0
2980,1.0
5001,2.0
12678,1.0
1303,1.0
4618,2.0
7708,1.0
10986,1.0
346,1.0
7375,2.0
8530,2.0
9743,0.0
474,1.0
8860,2.0
6576,1.0
9937,1.0
12770,2.0
13316,0.0
322,1.0
5245,2.0
4953,1.0
11247,2.0
7820,2.0
2754,2.0
9512,1.0
13631,1.0
3514,1.0
5905,1.0
971,2.0
6698,1.0
10194,2.0
8661,1.0
12095,1.0
6113,1.0
10862,2.0
14569,1.0
1201,2.0
2727,2.0
7399,1.0
7795,2.0
14739,2.0
36,1.0
12943,0.0
4750,2.0
6740,1.0
14664,2.0
6933,1.0
5183,1.0
10465,1.0
8969,2.0
12631,1.0
11661,0.0
8459,2.0
3090,1.0
12232,1.0
1288,1.0
3031,2.0
14655,1.0
2977,1.0
2400,2.0
14010,2.0
14508,2.0
13925,2.0
9924,0.0
1746,2.0
4125,0.0
7172,1.0
9922,2.0
4315,2.0
8118,2.0
11571,1.0
5981,2.0
11487,2.0
11908,2.0
4549,1.0
2507,1.0
3375,2.0
8310,0.0
7092,1.0
210,1.0
13161,1.0
1950,1.0
4393,2.0
651,2.0
2206,2.0
4475,2.0
2615,1.0
1396,2.0
11051,2.0
5909,2.0
3942,1.0
1670,2.0
2320,1.0
9509,1.0
14342,1.0
1952,1.0
7630,1.0
14561,2.0
2937,1.0
10857,2.0
11807,1.0
11035,1.0
14223,1.0
10146,2.0
484,1.0
11100,0.0
898,1.0
1732,1.0
13955,1.0
2613,1.0
6387,1.0
8778,0.0
6076,1.0
14550,2.0
4684,0.0
2640,2.0
1250,1.0
12697,1.0
11078,2.0
