,Unnamed: 0,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,salary_0.0,salary_1.0,salary_2.0,job_0.0,job_1.0,job_2.0,job_3.0,job_4.0,job_5.0,job_6.0,job_7.0,job_8.0,job_9.0
9838,3513.220975319987,0.6907588944427449,3.870481061172681,125.40973695020423,4.646509989456822,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7689,8128.5834345888625,0.6463068062917294,4.7372450015063565,225.86150004011603,4.817209298375797,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6557,8605.600837190135,1.0517184076551445,2.6029572395314897,145.97096303915265,1.0483247676553755,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6872,6215.596539748883,0.7696137425906944,4.881178789120311,115.60543920513481,6.0191443192923435,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820,-204.17317842640864,0.7034670276330242,7.031969332396745,278.1740660137197,3.8835460569169555,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1643,7156.334309223935,1.0489858523430073,4.283605884924841,251.14598443074271,4.91910058138114,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7217,8758.472824959885,1.0120335309277606,2.7065402598832415,78.80511814240101,2.1409504478795824,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8351,8892.746228874112,0.8471669021108676,5.05753186100996,162.17780655847653,2.7240080722867566,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2631,7189.227902487002,0.5834472638095669,2.2290299881487714,199.8198450867672,6.528403895381531,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
107,-1835.6369939993854,0.7143396026912376,1.662232580834452,315.8986166559562,1.476801005964248,0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
