,satisfaction_level
9838,1
7689,0
6557,1
6872,1
820,1
1643,1
7217,0
8351,1
2631,1
107,0
10329,0
367,0
8216,1
416,1
2420,1
729,0
13626,0
4170,1
6189,0
12752,1
10385,0
5778,0
6206,0
2388,1
12619,0
4894,1
6586,0
8439,1
5094,0
4747,0
510,1
700,1
6679,1
11135,0
2628,0
3679,1
1277,1
5226,1
2030,0
5071,1
39,0
1891,1
7874,1
4785,1
3421,0
4111,1
7621,1
10514,1
2980,1
5001,0
12678,1
1303,1
4618,1
7708,1
10986,1
346,1
7375,1
8530,1
9743,1
474,1
8860,1
6576,1
9937,1
12770,0
13316,1
322,1
5245,0
4953,0
11247,1
7820,1
2754,0
9512,1
13631,1
3514,1
5905,1
971,0
6698,1
10194,1
8661,1
12095,1
6113,1
10862,1
14569,0
1201,1
2727,0
7399,1
7795,0
14739,1
36,1
12943,1
4750,1
6740,1
14664,1
6933,0
5183,1
10465,0
8969,1
12631,1
11661,1
8459,0
3090,0
12232,0
1288,1
3031,1
14655,1
2977,1
2400,1
14010,1
14508,1
13925,1
9924,1
1746,1
4125,1
7172,1
9922,1
4315,1
8118,0
11571,1
5981,1
11487,1
11908,1
4549,0
2507,1
3375,1
8310,1
7092,1
210,1
13161,0
1950,1
4393,1
651,1
2206,0
4475,1
2615,0
1396,1
11051,0
5909,1
3942,1
1670,0
2320,1
9509,1
14342,1
1952,0
7630,1
14561,1
2937,0
10857,1
11807,1
11035,1
14223,1
10146,0
484,1
11100,0
898,1
1732,1
13955,1
2613,1
6387,1
8778,1
6076,1
14550,1
4684,0
2640,1
1250,0
12697,1
11078,1
2435,1
4954,1
9787,1
14914,1
13356,1
4751,1
8552,0
13957,1
2303,1
5532,1
11944,1
12525,1
582,1
7372,1
9811,0
718,1
12334,1
11066,1
762,1
3468,0
1870,1
12574,1
6072,1
6808,1
6836,0
738,1
9754,1
12380,1
12534,0
7508,0
7503,1
11503,1
13612,1
14300,1
4024,0
14358,1
8303,0
750,1
10330,1
12939,1
8077,0
4554,1
1839,1
5399,1
13541,1
1275,1
6650,0
10114,0
4459,1
14266,1
9545,0
10556,1
10657,0
10569,1
2264,1
8294,0
1536,1
4296,1
6779,0
6061,1
1369,1
740,1
6800,1
3857,1
1188,1
13451,1
9601,1
1570,1
9632,0
10107,1
2527,1
2127,1
10073,1
2764,0
9188,1
11418,0
12638,0
9392,1
6018,0
10035,0
1981,0
13625,1
4094,0
10919,1
13777,1
14317,1
2057,1
4536,1
4685,0
12854,0
4004,1
11696,1
14742,0
14376,0
10323,1
9913,0
3434,1
9269,0
9825,0
6302,1
1710,1
14251,1
6286,1
13047,0
562,1
10786,1
7907,1
640,1
1669,0
3000,1
7307,1
13481,1
14513,0
2407,0
12566,1
8064,1
7796,0
13385,1
5936,0
14981,1
2910,0
4081,0
9948,0
12103,1
4743,0
14511,1
5123,1
2928,1
3166,0
4304,1
7760,0
180,0
5070,0
12464,1
4553,0
2218,1
12317,1
1955,0
1057,1
9056,1
9706,1
5556,1
4436,1
1399,0
12849,1
9642,0
10529,1
4990,0
12047,1
10127,0
2234,1
5144,1
14020,1
12038,0
1210,0
3669,1
10436,1
2238,0
13114,0
10741,1
2948,1
11766,0
8387,1
13879,0
6216,1
12118,1
7250,1
6690,0
14125,1
5292,1
14140,1
1434,1
14980,0
92,1
11384,1
11226,1
11126,1
10991,0
3469,1
13315,1
6444,1
4861,0
7459,1
14196,0
7436,0
10278,1
6594,1
10050,1
3449,1
9355,0
1084,1
8748,1
2777,1
11433,0
428,1
5013,1
12453,0
12405,1
13804,1
10846,1
13826,1
2698,1
11558,1
10074,1
11299,1
408,0
7520,0
13295,0
1608,1
10431,1
14916,0
4455,0
7663,1
11431,0
12441,1
9213,0
3941,0
426,1
949,1
10087,0
7319,0
2865,0
9016,1
14706,1
4156,0
8060,1
14197,0
6545,1
5908,1
7103,1
7844,0
1691,1
12834,0
12402,0
1421,1
6244,1
4216,1
819,1
4614,1
4162,1
7438,1
3422,1
14676,1
14429,0
11496,1
4257,1
9891,1
409,1
1285,0
4814,1
11631,1
6798,1
4355,0
13382,1
1091,1
7998,1
73,1
11600,1
3585,0
4238,1
11218,1
6706,1
5751,1
291,1
6084,1
13232,1
8278,1
11409,1
13823,1
2089,1
7873,0
1801,1
13751,1
11821,1
1576,1
1110,1
318,1
9985,1
4038,1
13589,0
6194,0
1825,1
3146,1
5081,0
6832,1
3411,0
144,0
8994,0
4561,1
7732,0
3975,1
9113,1
7923,1
13752,1
8613,1
4870,1
13581,1
11799,0
8256,1
7163,1
1830,1
11975,1
85,1
14170,1
1219,1
7416,1
14865,1
9458,1
3724,1
5689,0
10308,1
10959,1
6598,1
13821,1
8807,1
594,0
4638,1
9176,1
8272,0
3519,1
7660,1
8629,1
14542,0
14380,1
5987,1
61,1
5723,1
8158,1
5152,1
10683,1
5090,1
4489,1
5620,1
11856,1
12378,1
13009,0
4866,0
13123,1
14885,1
6749,1
7044,1
11403,1
5493,0
3958,1
958,0
472,0
5960,0
1513,1
2290,1
12624,0
5967,1
4064,1
13766,0
1479,1
9532,1
8276,1
2899,1
5849,1
7100,0
6071,0
9089,0
7631,1
9490,1
10766,1
3708,1
9551,0
13134,1
9577,1
5239,1
9189,0
491,1
10094,1
12634,1
3776,0
9603,1
8890,1
8509,1
127,1
6372,1
13396,1
11117,0
9336,1
1264,0
7615,1
7698,1
11043,0
7953,1
7021,0
6753,1
9936,1
6592,1
275,1
7831,1
14474,0
10500,0
1272,0
8168,1
9368,1
3601,0
10801,1
1897,1
11890,1
14131,1
5716,1
7936,0
6741,1
4034,1
14727,1
11156,0
4077,0
10712,1
5046,1
7267,1
2826,0
715,0
10531,1
10109,0
2973,1
12742,1
1118,1
13991,1
3804,1
6290,1
4526,1
4342,1
9349,1
2316,1
9466,1
7859,0
4292,1
7748,0
11578,0
2458,1
10626,1
5405,0
5623,1
7677,1
12528,1
8979,0
6558,1
9035,1
10606,1
6760,0
13495,0
1864,1
12792,0
8074,1
3820,1
8757,1
1145,1
10252,1
14549,1
13350,1
733,1
12069,0
5614,1
5169,1
3282,0
2457,1
9970,1
8715,1
5852,1
13427,1
5627,0
4745,1
12443,1
7144,1
9072,1
6890,1
12089,0
9363,1
11712,1
6536,0
5357,0
14956,1
14526,1
5554,1
7912,1
12406,0
7535,0
13593,1
8973,0
4229,0
7700,1
12277,1
10586,0
4660,0
11974,1
4755,1
5434,1
14490,1
12409,1
11387,1
1793,1
1692,0
4786,1
7541,1
13676,1
493,1
12415,1
157,1
13885,0
13120,1
1463,0
12455,1
11077,1
6148,1
9520,1
8759,0
2287,1
7530,1
3351,1
9846,1
965,1
9403,1
6388,0
2252,1
8892,0
2578,1
438,1
4442,0
8288,1
1614,1
4789,1
10159,1
9462,1
10226,1
12956,0
13106,1
467,0
10079,1
8624,1
756,0
13846,1
14592,1
2688,1
1090,0
7606,1
10632,1
4862,1
6109,1
5612,1
5389,0
1374,0
5550,1
1862,0
10172,0
5767,1
13491,1
4884,1
10368,1
8625,0
1878,0
14498,1
14296,1
11982,1
1119,1
8673,1
8628,0
11898,0
13544,0
14681,0
9589,1
2186,1
14926,1
10769,0
7033,0
3996,0
13650,0
4387,0
1432,0
11373,1
10858,1
8774,0
4900,1
2174,1
6778,1
14797,1
2102,0
10371,0
12541,1
2656,0
6759,1
13564,0
14480,1
1934,1
7900,1
2952,1
4367,1
6518,1
13113,1
11054,1
10860,1
6877,1
11208,1
7039,1
758,0
5035,1
3312,1
829,1
4504,1
8198,0
7068,1
5350,1
4450,0
8327,0
2447,1
11720,0
13638,0
8066,0
14686,1
14166,1
13205,1
11239,1
7047,1
11090,0
12610,1
7247,0
9390,0
13263,1
4708,1
6730,1
7195,0
5195,1
1459,0
14726,0
3441,1
5872,0
10165,1
5653,0
6794,1
8201,0
10158,1
12437,1
11377,0
5762,0
3827,0
14842,1
6515,0
2673,1
134,1
5651,1
12508,1
7584,0
14048,0
2929,1
10307,1
11708,1
799,0
10770,1
8658,1
11121,0
427,1
9412,1
13386,1
4925,0
4015,1
11216,0
7306,0
14015,1
7918,1
14475,1
5425,1
1255,1
6066,1
6422,0
6810,1
5768,1
9015,1
6087,1
5766,0
12829,0
9803,0
3131,1
2318,0
1926,1
8314,1
9228,1
3037,0
11376,1
5440,1
8886,0
8674,1
7501,1
13916,0
12959,1
5437,1
3694,1
11193,1
13023,1
3746,1
10814,1
13130,0
12180,1
8537,0
4851,1
7810,1
381,1
10347,1
4245,1
7472,0
